Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2018,"Robert G. Brewer, Jr.","Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in Takoma Park, Maryland, and Eastern Montgomery Count Master Plan.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1045,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1045
2015,Kelly Blynn,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Transportation priorities, Rapid Transit system development, multimodal transportation design.",827.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=330,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=330
2015,"Devin J. Doolan, Esq,",Catholic Charities of the Archdiocese of Washingto,"Furey, Doolan & Abell, LLP",,Monitor all regulation and legislation proposal potentially impacting Charities mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=323,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=323
2016,Emily J. Vaias,Douglas Development Corporation,Linowes and Blocher,,Bethesda Master Plan,5561.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=627,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=627
2018,Heather Dlhopolsky,Wisconsin Avenue Properties LLC,Linowes and Blocher LLP,,MPDU Amendments,0.00,2475.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2116,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2116
2016,Diane M.Cameron,Audubon Naturalist Society,Audubon Naturalist Society,,"Environmental legislation and County administration of environmental laws, codes and policies.  Clean Water Act implementation, stormwater permits, water quality protection fund, forest and tree protections, and watershed restoration.  Citizen stewardship partnerships.",7156.00,700.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=561,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=561
2018,"Nancy P. Regelin, Esquire",Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,"Bethesda CBD Sector Plan Amendment, Parking District, Zoning and Affordable Housing Legislation.,Legislative Lobbying - MPDU",1818.00,48.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1036,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1036
2017,Todd D. Brown,"Conley Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Bethesda Sector Plan.,22357.00,69.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=818,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=818
2014,Barbara A. Sears,"Foulger-Pratt Companies, LLC",Linowes and Blocher LLP,Yum Yu Cheng,Downtown Silver Spring - Block A Redevelopment,4780.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=249,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=249
2013,William Kominers,BioReliance Corporation,"Lerch, Early & Brewer, Chartered",,Subdivision Regulation Amendment SRA No. 13-01,2500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=93,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=93
2015,Stephen J. Orens,"JJF Management Services, Inc.","Miles & Stockbridge, PC",,Executive Boulevard Alignment,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=403,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=403
2013,Robert R. Harris,"EYA, LLC","Lerch Early & Brewer, Chartered",,Land Use Approval.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=32,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=32
2014,Ashlie Bagwell,ecoATM,Harris Jones & Malone,,Legislation related to the use of automated purchasing machines in Montgomery County,10000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=254,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=254
2013,Daniel P. Lucas,LIUNA Mid-Atlantic Regional Organizing Coalition,LIUNA MAROC,,"economic development, workforce development, local hiring, project labor agreements, labor policy, refuse collection, procurement, minimum and living wages, prevailing wages",472.00,1275.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=86,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=86
2013,Ashlie T Bagwell,Wonders Child Care,Harris Jones & Malone LLC,,All matters relating to the child care industry,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=131,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=131
2015,Emily J. Vaias,The Donohoe Companies,Linowes and Blocher LLP,Samantha Mazo,Bethesda Master Plan,2163.00,4328.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=511,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=511
2015,Scott Wallace,MileOne Automotive,Linowes and Blocher,,Zoning Text Amendment,3900.00,9840.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=509,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=509
2014,Meredith R Weisel,Greater Capital Area Association of REALTORS,"Weisel Government Relations, LLC",,1. Real Estate Issues 2. Land Use Matters 3. Development and Growth Issues 4. Taxes 5. Transportation Issues,55161.00,52650.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=197,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=197
2016,"David D. Freishtat, Esquire","Lindsay Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,Zoning and Land Use.,1242.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=544,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=544
2017,C. Robert Dalrymple,Aksoylu Properties,Linowes and Blocher LLP,Erin E. Girard,Bethesda Downtown Sector Plan.,4815.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=908,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=908
2015,Hillery Tsumba,Primary Care Coalition of Montgomery County,Primary Care Coalition of Montgomery County,,"Meet with Council members and their staff to brief them on relevant programs and request funding support for these programs. Engage in grassroots mobilization to engage partner organizations, stakeholders, and constituents of relevant programs to endorse PCC positions and request support of said programs by the Council.",1328.00,3350.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=462,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=462
2015,Robert R. Harris,Streetscape Partners,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=490,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=490
2013,Erica A. Leatham,Monument Realty,Ballard Spahr LLP,raquel d montenegro,Re-development of the Montgomery Village Golf Course,11000.00,3413.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=97,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=97
2016,Brigid Nuta Howe,Nonprofit Montgomery,Nonprofit Montgomery,,Issues concerning nonprofit organizations and the communities they serve.,2705.00,2930.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=934,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=934
2015,Robert J. Garagiola,Angarai International,"Alexander & Cleaver, P.A.",,"Business development, regulations, and matters affecting business.",250.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=334,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=334
2016,Christopher M. Ruhlen,Tusculum Farm Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plan, and general land use matters.",438.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=697,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=697
2016,Moira Moynihan,Montgomery County Career Firefighters Association,"Alexander & Cleaver, P.A.",,General budget issues in Montgomery County and employee benefits.,625.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=613,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=613
2017,"Nancy P. Regelin, Esquire",Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,"Bethesda CBD Sector Plan Amendment, Parking District, Zoning and Affordable Housing Legislation.",34739.00,20157.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=859,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=859
2020,Ashlie Bagwell,Discovery Communications Inc.,Harris Jones & Malone,,Film entertainment; Economic Development; Tax Matters; Communications,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2293,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2293
2018,Jody S. Kline,"Friends House, Inc.","Miller, Miller & Canby",,"Represent client before Council regarding proposed development impact tax legislation, Bill 32-17 and Bill 36-17.",1640.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2059,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2059
2020,Jocelyn Irene Collins,American Cancer Society Cancer Action Network,American Cancer Society Cancer Action Network,,"Access to health care, Cancer prevention, Early detection and screening and research, Obesity reduction and prevention, Nutrition and physical activity in schools and workplace, Tobacco use prevention and reduction,Tobacco control",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2334,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2334
2016,Barbara A. Sears,1788 Holdings,Linowes and Blocher LLP,Phillip A. Hummel,Shady Grove Properties,0.00,4415.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=749,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=749
2017,Stephen Z. Kaufman,Gables Residental,Linowes and Blocher LLP,"Erin Girard, Nathan J. Greenbaum",04709.0024; Gables Residential VOB Properties/White Flint Master Plan,7996.00,420.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=961,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=961
2015,Robert J. Garagiola,Business Health Services,"Alexander & Cleaver, P.A.",,City and State procurement.,500.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=380,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=380
2017,Moira Moynihan,"Smooches 4 Pooches, LLC.","Alexander & Cleaver, P.A.",,Home occupation pet care services in Montgomery County.,1180.00,4031.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=954,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=954
2013,C. Robert Dalrymple,Washington Property Company,Linowes and Blocher LLP,Heather Dlhopolsky,Progress Place / Shepherd's Table.  Council Resolution for Disposition of Property,1642.00,6684.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=144,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=144
2014,Camille G. Fesche,"ecoATM, Inc.","Alexander & Cleaver, P.A.",,Prevent passage of APM Prohibition Legislation in Montgomery County Maryland.,625.00,525.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=257,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=257
2013,Barbara Sears,Equity One Inc.,Linowes and Blocher LLP,Erin E. Girard,Westbard Shopping Center,1213.00,5302.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=102,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=102
2018,Barbara A. Sears,Bethmont LLC,Linowes and Blocher LLP,Phillip A. Hummel,Bethesda Property,3713.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2098,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2098
2013,Cathy Greenebaum Borten,Verizon Wireless,"Law Offices of M.Gregg Diamond, P.C.",,Propose revisions to the Zoning Ordinance rewrite related to small cell wireless communication facilities.,0.00,3500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=186,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=186
2018,Moira Moynihan,Distilled Spirits Council of US,"Alexander & Cleaver, P.A.",,Any and all matters and legislation pertaining to the sale and distribution of beverage alcohol.,375.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2050,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2050
2016,Ashlie Bagwell,Verizon Communications,Harris Jones & Malone,,Any and all matters related to the telecommunications industry,500.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=660,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=660
2013,"Nancy P. Regelin, Esquire",Aldon Management Corp.,"Shulman, Rogers, Gandal, Pordy & Ecker, PA","Larry N. Gandal, Esquire","Battery Lane District, Sectional Map Amendments, Woodmont Triangle Sector Plan, Zoning Text Amendments, MPDU Legislation, Battery Lane Rezoning.",0.00,37723.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=71,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=71
2019,Dyana Forester,United Food & Commercial Workers Union Local400,UFCW Local 400,,"Paid sick days, campaign financing, collective bargaining, health care, work labor and employment",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2218,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2218
2015,"Kerry R. Watson, Jr.",Business Health Services,"Alexander & Cleaver, P.A.",,City and State procurement.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=382,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=382
2017,Heather Dlhopolsky,Fairmont Building LLC,Linowes and Blocher LLP,,Downtown Bethesda Sector Plan.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=921,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=921
2018,Roberto Croce,"Salient Advisors, L.P.","Salient Advisors, L.P.",,The principal and registered lobbyist provide investment advisory services.,2500.00,2500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1013,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1013
2014,Steven A. Robins,"Rock Spring Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning Text Amendment 14-09, and other zoning, master plan, and general land use matters.",0.00,6930.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=305,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=305
2016,Susan Jean Matlick,Maryland Building Industry Association,NA,,"Bill 37-16, Taxation - Development Impact Tax - lobbying for removal of certain tax proposals,Bill 39-16 - Registry of Vacant Properties, proposing modifications to the bill",0.00,4429.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=764,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=764
2016,Robert J. Garagiola,"Wawa, Inc.","Alexander & Cleaver, P.A.",,"Any and all matters including human resource related issues, gasoline pricing, taxation and retail sales restrictions.",1625.00,250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=620,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=620
2019,Nicola Y. Whiteman,Apartment & Office Building Association of Metropo,Apartment & Office Building Association of Metropo,,Real Estate Issues,0.00,69638.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2214,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2214
2013,"Robert G. Brewer, Jr.","Adventist Healthcare, Inc.","Lerch, Early & Brewer, Chartered",,"Regulatory activities affecting Shady Grove Life Sciences Center, Washington Adventist Hospital campus in Takoma Park, Maryland and Eastern Montgomery County Master Plan",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=41,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=41
2017,Ellen Lee Coren,T-Mobile Northeast LLC,Chesapeake Public Strategies,,Matters relating to wireless telecommunications,0.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=980,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=980
2018,Ronald W. Wineholt,Apartment & Office Building Association (AOBA),Apartment & Office Building Association (AOBA),Nicola Y. Whiteman,All Matters dealing with commercial office and multi-family property management,67912.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2056,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2056
2017,Eliza Cava,Audubon Naturalist Society,Audubon Naturalist Society,,"Environmental legislation and County administration of environmental laws, codes and policies. Clean Water Act implementation, stormwater permits, water quality protection fund, forest and tree protections, and watershed restoration. Citizen stewardship activities and partnerships.",5016.00,5016.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=896,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=896
2020,Patricia A. Harris,Unibail-Rodamco-Westfield,"Lerch, Early & Brewer, Chtd.",,"Wheaton Plaza Regional Shopping Center: Zoning, master plans, and general land use matters.,Montgomery Mall: Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2349,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2349
